"state","county","precinct","rep","dem","other"
"Georgia","Appling","1B",870,116,7
"Georgia","Appling","1C",594,44,2
"Georgia","Appling","2",531,908,9
"Georgia","Appling","3A1",587,20,4
"Georgia","Appling","3C",843,288,4
"Georgia","Appling","4B",647,23,2
"Georgia","Appling","4D",1048,130,1
"Georgia","Appling","5A",697,118,5
"Georgia","Appling","5B",709,132,2
"Georgia","Atkinson","Pearson County",1026,160,11
"Georgia","Atkinson","Axson",479,45,3
"Georgia","Atkinson","Willacoochee",566,291,10
"Georgia","Atkinson","Pearson City",229,329,6
"Georgia","Bacon","Douglas",4018,625,25
"Georgia","Baker","Anna",93,31,0
"Georgia","Baker","Elmodel",141,148,0
"Georgia","Baker","Hoggards Mill",120,111,3
"Georgia","Baker","Milford",137,69,0
"Georgia","Baker","Newton",406,293,3
"Georgia","Baldwin","South Milledgeville",179,583,9
"Georgia","Baldwin","City Hall Annex",153,331,6
"Georgia","Baldwin","Boddie",134,547,6
"Georgia","Baldwin","Courthouse",113,169,6
"Georgia","Baldwin","Fire Dept",212,711,10
"Georgia","Baldwin","North Milledgeville",793,859,22
"Georgia","Baldwin","Meriweather",1366,831,26
"Georgia","Baldwin","East Baldwin",1581,1159,28
"Georgia","Baldwin","Scottsboro",426,275,8
"Georgia","Baldwin","North Baldwin",1891,810,24
"Georgia","Baldwin","West Baldwin",731,604,19
"Georgia","Baldwin","East Hardwick",140,520,12
"Georgia","Baldwin","West Hardwick",400,1421,22
"Georgia","Baldwin","Coopers",784,320,10
"Georgia","Banks","Anderson",901,100,12
"Georgia","Banks","Baldwin",528,103,6
"Georgia","Banks","Berlin",266,29,0
"Georgia","Banks","Bushville",468,42,3
"Georgia","Banks","Columbia",258,20,0
"Georgia","Banks","Davids",1107,166,11
"Georgia","Banks","Golden Hill",538,80,7
"Georgia","Banks","Grove River",387,33,4
"Georgia","Banks","Hollingsworth",432,53,3
"Georgia","Banks","Homer",957,108,6
"Georgia","Banks","Poplar Springs",1121,113,15
"Georgia","Banks","Washington",438,53,4
"Georgia","Banks","Wilmonts",394,32,3
"Georgia","Barrow","01 Bethlehem Community Center",1728,560,40
"Georgia","Barrow","02 Bethlehem Church - 211",4033,966,72
"Georgia","Barrow","03 Hmong New Hope Alliance Church ",3098,943,74
"Georgia","Barrow","04 Covenant Life Sanctuary ",1904,624,54
"Georgia","Barrow","05 Fire Station 1 (Statham)",4198,1743,70
"Georgia","Barrow","08 First Baptist Church Winder",3784,1114,86
"Georgia","Barrow","13 Winder Community Center",3664,2036,108
"Georgia","Barrow","16 The Church at Winder",4395,2467,160
"Georgia","Bartow","Adairsville",3819,908,73
"Georgia","Bartow","Allatoona",1997,696,31
"Georgia","Bartow","Cartersville East",2810,1527,65
"Georgia","Bartow","Cartersville West",4030,1776,61
"Georgia","Bartow","Cassville",2259,1019,53
"Georgia","Bartow","Center",2312,568,48
"Georgia","Bartow","Emerson",1582,414,29
"Georgia","Bartow","Euharlee",2859,853,69
"Georgia","Bartow","Folsom",897,113,8
"Georgia","Bartow","Hamilton Crossing",3228,921,45
"Georgia","Bartow","Kingston",1550,305,27
"Georgia","Bartow","Mission Road",2070,711,25
"Georgia","Bartow","Pine Log",1369,189,25
"Georgia","Bartow","Taylorsville",1861,206,25
"Georgia","Bartow","White",1648,275,32
"Georgia","Bartow","Zena Drive",2422,1314,64
"Georgia","Bartow","Woodland",961,297,21
"Georgia","Ben_Hill","East",1249,1182,20
"Georgia","Ben_Hill","West",2861,1210,38
"Georgia","Berrien","West Berrien",706,67,7
"Georgia","Berrien","Ray City",1062,216,12
"Georgia","Berrien","Nashville",3393,694,25
"Georgia","Berrien","Enigma",636,86,6
"Georgia","Berrien","Alapaha",622,206,5
"Georgia","Bibb","East Macon 1",47,929,11
"Georgia","Bibb","East Macon 2",157,2169,27
"Georgia","Bibb","East Macon 3",570,1563,23
"Georgia","Bibb","East Macon 4",95,1309,9
"Georgia","Bibb","East Macon 5",379,1264,16
"Georgia","Bibb","Godfrey 1",326,2987,29
"Georgia","Bibb","Godfrey 2",98,795,8
"Georgia","Bibb","Godfrey 3",175,1543,8
"Georgia","Bibb","Godfrey 4",139,826,7
"Georgia","Bibb","Godfrey 5",301,2328,30
"Georgia","Bibb","Hazzard 1",232,1676,21
"Georgia","Bibb","Hazzard 2",1215,1606,34
"Georgia","Bibb","Hazzard 3",1201,3284,31
"Georgia","Bibb","Hazzard 4",2112,1618,37
"Georgia","Bibb","Howard 1",1727,992,21
"Georgia","Bibb","Howard 2",1734,929,35
"Georgia","Bibb","Howard 3",2397,2233,55
"Georgia","Bibb","Howard 4",577,625,22
"Georgia","Bibb","Howard 5",535,917,14
"Georgia","Bibb","Howard 6",878,736,18
"Georgia","Bibb","Howard 7",1421,851,31
"Georgia","Bibb","Rutland 1",2559,1784,28
"Georgia","Bibb","Rutland 2",1590,863,26
"Georgia","Bibb","Vineville 1",670,1509,37
"Georgia","Bibb","Vineville 2",291,939,21
"Georgia","Bibb","Vineville 3",153,1601,19
"Georgia","Bibb","Vineville 4",283,2042,23
"Georgia","Bibb","Vineville 5",913,818,30
"Georgia","Bibb","Vineville 6",937,1180,39
"Georgia","Bibb","Warrior 1",1300,675,16
"Georgia","Bibb","Warrior 2",1573,877,23
"Georgia","Bleckley","Fairground",4328,1311,67
"Georgia","Brantley","Hoboken",2210,164,17
"Georgia","Brantley","Nahunta",2522,268,17
"Georgia","Brantley","Waynesville",2259,267,22
"Georgia","Brooks","Quitman",908,1406,17
"Georgia","Brooks","Barwick",181,67,0
"Georgia","Brooks","Dixie",363,395,4
"Georgia","Brooks","Briggs",1148,315,15
"Georgia","Brooks","Nankin",421,86,2
"Georgia","Brooks","Morven",925,399,10
"Georgia","Brooks","Pavo",314,122,2
